USAF,WBAN,STATION NAME,CTRY,ST,CALL,LAT,LON,ELEV(M),BEGIN,END
012880,99999,ROROS,NO,,,+62.567,+011.383,+0630.0,19730101,20150513
012890,99999,ROROS LUFTHAVN,NO,,ENRO,+62.583,+011.350,+0626.0,19840909,20050405
012891,99999,ROROS/AIRPORT,NO,,ENRO,+62.583,+011.383,+0626.0,19790301,19840817
012900,99999,NAMSOS AIRPORT,NO,,ENNM,+64.467,+011.583,+0002.0,19730401,20150513
012910,99999,GARTLAND,NO,,,+64.533,+012.383,+0095.0,20090112,20150513
012920,99999,MERAKER-UTSYN,NO,,,+63.417,+011.700,+0240.0,19730101,20040930
012930,99999,MERAKER-EGGE,NO,,,+63.417,+011.733,+0171.0,20050215,20150513
012950,99999,HOYLANDET,NO,,,+64.550,+012.150,+0027.0,19730101,20070612
012960,99999,BERG I SNASA,NO,,,+64.250,+012.417,+0127.0,19730101,19770606
012980,99999,NORDLI-HOLAND,NO,,,+64.450,+013.717,+0433.0,19730101,20150511
013000,99999,GULLFAKS C,NO,,,+61.200,+002.267,+0078.0,20010601,20150513
013005,99999,STATFJORD OIL RIG,NO,,ENSF,+61.217,+001.833,+0015.0,19841204,20150225
013040,99999,YTTEROYANE FYR,NO,,,+61.567,+004.683,+0025.0,19840901,20150513
013060,99999,HELLISOY FYR,NO,,,+60.750,+004.717,+0023.0,19730101,20041229
013070,99999,FEDJE,NO,,,+60.750,+004.717,+0020.0,20050218,20150513
013080,99999,FURUNESET,NO,,,+61.300,+005.050,+0007.0,20110928,20150513
013090,99999,KINN ISLAND,NO,,,+61.567,+004.800,+0010.0,19310104,20051022
013100,99999,FLORO,NO,,ENFL,+61.584,+005.025,+0011.3,19800407,20150513
013110,99999,FLESLAND,NO,,ENBR,+60.293,+005.218,+0051.8,19730101,20150513
013140,99999,FOSSMARK,NO,,,+60.517,+005.717,+0010.0,20120615,20150513
013150,99999,EVANGER,NO,,,+60.633,+006.100,+0017.0,20101214,20150513
013160,99999,BERGEN-FREDRIKSBERG,NO,,,+60.400,+005.317,+0040.0,19730101,19851230
013170,99999,BERGEN/FLORIDA,NO,,,+60.383,+005.333,+0036.0,19730101,20150513
013180,99999,SANDANE,NO,,,+61.783,+006.183,+0051.0,20050614,20150512
013190,99999,TAKLE,NO,,,+61.033,+005.383,+0038.0,19730101,20150513
013200,99999,SANDANE/ANDA,NO,,ENSD,+61.833,+006.117,+0060.0,19810904,20150513
013210,99999,STRYN,NO,,,+61.900,+006.550,+0208.0,19730101,20150513
013220,99999,FORDE-TEFRE,NO,,,+61.467,+005.917,+0064.0,19730101,20150512
013230,99999,BRINGELAND,NO,,ENBL,+61.393,+005.764,+0327.0,19840502,20150513
013250,99999,MODALEN II,NO,,,+60.833,+005.950,+0114.0,19730101,20080924
013260,99999,MODALEN III,NO,,,+60.850,+005.983,+0125.0,20081008,20150513
013270,99999,KVAMSKOGEN-JONSHOGDI,NO,,,+60.383,+005.967,+0455.0,20061121,20150513
013280,99999,KVAMSKOGEN,NO,,,+60.400,+005.917,+0408.0,19730101,20060726
013290,99999,KVAMSOY,NO,,,+60.350,+006.267,+0050.0,20050218,20150513
013300,99999,OMASTRAND,NO,,,+60.217,+005.983,+0006.0,19730101,20050910
013320,99999,FJAERLAND BREMUSEET,NO,,,+61.430,+006.770,+0003.0,20060201,20150513
013340,99999,FJERLAND SKARESTAD,NO,,,+61.433,+006.767,+0010.0,20070413,20070413
013360,99999,BULKEN,NO,,,+60.650,+006.217,+0328.0,19730101,20150513
013370,99999,VOSSEVANGEN,NO,,,+60.633,+006.433,+0055.0,20050218,20150513
013380,99999,VANGSNES,NO,,,+61.167,+006.650,+0051.0,20040706,20150513
013390,99999,VANGSNES,NO,,,+61.167,+006.650,+0053.0,19730101,20011102
013400,99999,FET I EIDFJORD,NO,,,+60.420,+007.280,+0737.0,20050726,20150513
013410,99999,EIDFJORD-BU,NO,,,+60.467,+006.867,+0166.0,19830101,20070227
013420,99999,ULLENSVANG,NO,,,+60.317,+006.650,+0012.0,19730101,20150512
013440,99999,MJOLFJELL,NO,,,+60.700,+006.950,+0695.0,19730101,20150513
013450,99999,KLEVAVATNET,NO,,,+60.717,+007.217,+0960.0,19731007,20150513
013460,99999,MIDTSTOVA,NO,,,+60.650,+007.267,+1162.0,20111125,20150513
013470,99999,SOGNDAL HAUKASEN,NO,,ENSG,+61.156,+007.137,+0511.0,19850118,20150513
013471,99999,SOGNDAL/HAUKASEN,NO,,ENSG,+61.167,+007.133,+0498.0,19840801,19841217
013500,99999,FINSEVATN,NO,,,+60.600,+007.533,+1208.0,20030330,20150512
013510,99999,FINSE III,NO,,,+60.600,+007.500,+1224.0,19730102,20011210
013520,99999,SANDHAUG,NO,,,+60.183,+007.483,+1250.0,20040107,20150513
013550,99999,LAERDAL IV,NO,,,+61.100,+007.500,+0005.0,19730101,20150513
013560,99999,FANNARAKI,FO,,,+61.517,+007.900,+2062.0,19881125,20140827
